行政區,收容所名稱,地址,經度,緯度,最大容納人數,可支援收容災害類型
安平區,安平國小,臺南市安平區怡平路392號,120.176439,22.993942,510,水災 、震災、海嘯
安平區,西門實驗小學,臺南市安平區安北路180號,120.159508,23.002924,694,水災 、震災、海嘯
安平區,石門國小-操場,臺南市安平區安平路700號,120.166309,22.999878,1001,"震災
"
安平區,國平里活動中心,臺南市安平區建平七街409號,120.176458,22.98948,102,"水災、震災
"
安平區,平安里活動中心,臺南市安平區民權路四段325號,120.17692,22.999443,237,"水災、震災
"
安平區,建平里活動中心,臺南市安平區府前三街27號,120.185584,22.99525,152,"水災、震災
"
安平區,安平國中-安平館,臺南市安平區慶平路687號,120.168263,22.997889,308,"水災、震災
"
安平區,億載國小-操場,臺南市安平區郡平路310號,120.163155,22.990008,1458,"震災
"
安平區,漁光里活動中心,臺南市安平區漁光路89巷39號之2,120.159968,22.977225,217,水災 、震災、海嘯
安平區,文平里活動中心,臺南市安平區中華西路二段1巷1號,120.185499,22.986772,151,"水災、震災
"
安平區,億載里活動中心,臺南市安平區光州一街29號,120.161834,22.986221,262,"水災、震災
"
安平區,華平里活動中心,臺南市安平區臺南市安平區育平九街195號,120.171965,22.995282,235,"水災、震災
"
安平區,平通里活動中心,臺南市安平區平通路580巷102號,120.170604,22.99731,92,"水災、震災
"
安平區,育平里活動中心,臺南市安平區府平路376號,120.167087,22.987404,273,"水災、震災
"
安平區,沙灘忠誠社區聯合活動中心,臺南市安平區世平路69號,120.148967,22.997064,376,水災 、震災、海嘯
安平區,海頭社區活動中心,臺南市安平區古街堡街90巷33號,120.160277,23.004411,99,"水災、震災
"
安南區,安順國中,臺南市安南區安和路三段227號,120.218369,23.049175,1900,"震災
"
安南區,學東里活動中心,臺南市安南區公學路六段661號,120.143569,23.078743,276,"水災、震災
"
安南區,安南國中,臺南市安南區安中路三段252號,120.178017,23.048527,1750,"震災
"
安南區,正統鹿耳門土城聖母廟,臺南市安南區城安路160號,120.127373,23.067712,800,"水災、震災
"
安南區,鹿耳門天后宮-公館,臺南市安南區媽祖宮一街136號,120.124458,23.03721,500,"水災、震災
"
安南區,?田里活動中心,臺南市安南區?安路28號,120.14502,23.033871,287,"水災、震災
"
安南區,城東里活動中心,臺南市安南區城安路73號,120.127586,23.066626,285,"水災、震災
"
安南區,和順國小,臺南市安南區安和路五段178巷,120.218637,23.065828,1180,"水災、震災
"
安南區,安慶國小,臺南市安南區安中路一段703巷80號,120.192972,23.04048,1600,"震災
"
安南區,南興國小,臺南市安南區公學路五段627號,120.160838,23.073649,1090,"水災、震災
"
安南區,海東國小,臺南市安南區安中路三段381號,120.174841,23.048968,1200,"震災
"
安南區,長安國小,臺南市安南區長溪路三段249號,120.197829,23.065157,1000,"震災
"
安南區,砂崙里活動中心,臺南市安南區城北路871巷94弄17號,120.127545,23.07917,250,"水災、震災
"
安南區,四草里活動中心,臺南市安南區大眾路656號,120.128271,23.016754,197,"水災、震災
"
安南區,安富里活動中心,臺南市安南區郡安路五段164巷12弄1號,120.196666,23.027415,221,"水災、震災
"
安南區,土城國小,臺南市安南區城北路195號,120.130919,23.066574,1284,"震災
"
安南區,青草國小,臺南市安南區青砂街二段105巷32號,120.116851,23.076697,500,"震災
"
安南區,學東國小,臺南市安南區公學路六段589號,120.145386,23.07816,600,"震災
"
安南區,安佃國小,臺南市安南區海佃路四段493號,120.173315,23.06403,150,"震災
"
安南區,和順國中,臺南市安南區安和路五段84巷66號,120.220493,23.065876,1179,"水災、震災
"
安南區,海佃國中,臺南市安南區安富街166號,120.197592,23.027022,867,"水災、震災
"
